"행정구역","2022년_계_총인구수","2022년_계_연령구간인구수","2022년_계_0세","2022년_계_1세","2022년_계_2세","2022년_계_3세","2022년_계_4세","2022년_계_5세","2022년_계_6세","2022년_계_7세","2022년_계_8세","2022년_계_9세","2022년_계_10세","2022년_계_11세","2022년_계_12세"
"서울특별시  (1100000000)","9,428,372","764,399","40,742","43,950","44,177","48,120","50,630","55,088","62,376","66,960","66,454","66,820","74,250","71,693","73,139"
"서울특별시 서울특별시 종로구 (1111000000)","141,379","9,254","442","493","477","547","553","636","739","850","839","827","944","881","1,026"
"서울특별시 서울특별시 중구 (1114000000)","120,437","7,797","549","569","557","563","551","605","677","648","602","643","667","616","550"
"서울특별시 서울특별시 용산구 (1117000000)","218,650","16,038","1,031","1,089","1,072","1,130","1,176","1,192","1,316","1,344","1,336","1,287","1,405","1,351","1,309"
"서울특별시 서울특별시 성동구 (1120000000)","281,000","23,547","1,626","1,715","1,717","1,755","1,824","1,870","2,016","1,937","1,909","1,866","1,887","1,781","1,644"
"서울특별시 서울특별시 광진구 (1121500000)","337,416","23,361","1,198","1,334","1,270","1,483","1,479","1,611","1,826","2,082","2,023","2,141","2,320","2,270","2,324"
"서울특별시 서울특별시 동대문구 (1123000000)","336,644","25,303","1,389","1,521","1,653","1,798","1,782","1,944","2,103","2,224","2,150","2,078","2,311","2,165","2,185"
"서울특별시 서울특별시 중랑구 (1126000000)","385,318","27,576","1,785","1,751","1,663","1,920","1,989","2,056","2,319","2,365","2,185","2,309","2,490","2,414","2,330"
"서울특별시 서울특별시 성북구 (1129000000)","430,397","36,313","1,823","2,038","2,041","2,250","2,477","2,631","3,012","3,272","3,185","3,151","3,494","3,528","3,411"
"서울특별시 서울특별시 강북구 (1130500000)","293,660","18,388","804","990","1,018","1,050","1,209","1,394","1,478","1,573","1,542","1,728","1,899","1,839","1,864"
"서울특별시 서울특별시 도봉구 (1132000000)","311,694","22,235","1,050","1,157","1,168","1,369","1,458","1,608","1,837","1,950","2,044","1,948","2,202","2,219","2,225"
"서울특별시 서울특별시 노원구 (1135000000)","503,734","41,339","2,194","2,144","2,192","2,321","2,399","2,816","3,229","3,600","3,687","3,725","4,239","4,225","4,568"
"서울특별시 서울특별시 은평구 (1138000000)","466,746","36,168","2,011","2,087","2,064","2,240","2,420","2,602","2,943","3,218","3,058","3,130","3,524","3,357","3,514"
"서울특별시 서울특별시 서대문구 (1141000000)","306,337","24,975","1,423","1,493","1,546","1,575","1,778","1,923","2,084","2,211","2,240","2,122","2,275","2,123","2,182"
"서울특별시 서울특별시 마포구 (1144000000)","364,638","29,737","1,674","1,852","1,799","1,929","2,082","2,244","2,603","2,636","2,545","2,367","2,798","2,540","2,668"
"서울특별시 서울특별시 양천구 (1147000000)","440,881","41,137","1,637","1,791","1,898","2,078","2,324","2,681","3,175","3,664","3,801","4,006","4,597","4,504","4,981"
"서울특별시 서울특별시 강서구 (1150000000)","569,166","46,600","2,675","2,738","2,798","3,043","3,096","3,333","3,890","4,025","4,001","4,024","4,585","4,342","4,050"
"서울특별시 서울특별시 구로구 (1153000000)","395,315","33,090","2,047","2,194","2,088","2,283","2,359","2,416","2,617","2,809","2,705","2,837","2,992","2,888","2,855"
"서울특별시 서울특별시 금천구 (1154500000)","229,642","14,637","959","960","956","996","1,028","1,074","1,161","1,284","1,166","1,115","1,399","1,269","1,270"
"서울특별시 서울특별시 영등포구 (1156000000)","375,675","30,705","2,110","2,194","2,072","2,347","2,354","2,439","2,571","2,581","2,515","2,367","2,543","2,356","2,256"
"서울특별시 서울특별시 동작구 (1159000000)","380,596","29,170","1,618","1,712","1,792","1,886","2,013","2,185","2,434","2,696","2,577","2,439","2,675","2,530","2,613"
"서울특별시 서울특별시 관악구 (1162000000)","486,752","25,283","1,486","1,523","1,567","1,601","1,589","1,826","2,043","2,191","2,152","2,186","2,348","2,425","2,346"
"서울특별시 서울특별시 서초구 (1165000000)","404,325","42,810","1,731","2,024","2,116","2,339","2,676","2,880","3,356","3,851","3,949","4,130","4,545","4,440","4,773"
"서울특별시 서울특별시 강남구 (1168000000)","529,102","50,012","1,858","2,200","2,179","2,531","2,718","3,158","3,742","4,330","4,593","5,011","5,697","5,749","6,246"
"서울특별시 서울특별시 송파구 (1171000000)","658,801","64,211","3,128","3,687","3,737","4,126","4,294","4,711","5,561","5,661","5,632","5,583","6,211","5,957","5,923"
"서울특별시 서울특별시 강동구 (1174000000)","460,067","44,713","2,494","2,694","2,737","2,960","3,002","3,253","3,644","3,958","4,018","3,800","4,203","3,924","4,026"
