검색조건 - 분류항목 : 보행어린이사고 다발지역; 세분류 : 18년 보행어린이사고 다발지역; 시도 : 서울특별시,,,,,,,
시도,장소설명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수
서울특별시 중랑구1,서울특별시 중랑구 신내동(중랑구청사거리 부근),3,3,0,1,2,0
서울특별시 중랑구2,서울특별시 중랑구 망우동(면일초교 부근),3,3,0,0,2,1
서울특별시 성북구1,서울특별시 성북구 석관동(석관초교 부근),3,3,0,1,2,0
서울특별시 성북구2,서울특별시 성북구 동선동5가(정덕초교 부근),3,3,0,0,3,0
서울특별시 강서구1,서울특별시 강서구 화곡동(우일유치원 부근),4,5,0,3,2,0
서울특별시 영등포구1,서울특별시 영등포구 영등포동8가(마리아성모병원 부근),3,3,0,1,2,0
서울특별시 동작구1,서울특별시 동작구 대방동(참새어린이공원 부근),3,3,0,2,0,1
서울특별시 관악구1,서울특별시 관악구 봉천동(영빌딩 부근),3,3,0,0,3,0
서울특별시 강남구1,서울특별시 강남구 청담동(청담e편한세상3차아파트 부근),3,4,0,0,4,0
서울특별시 강동구1,서울특별시 강동구 길동(나래하우스빌라 부근),3,3,0,0,1,2
