검색조건 - 분류항목 : 보행어린이사고 다발지역; 세분류 : 22년 보행어린이사고 다발지역; 시도 : 서울특별시,,,,,,,
시도,장소설명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수
서울특별시 광진구1,서울특별시 광진구 중곡동(유마트 부근),3,3,0,1,2,0
서울특별시 광진구2,서울특별시 광진구 광장동(올림픽대교북단교차로 부근),3,3,0,0,1,2
서울특별시 서대문구1,서울특별시 서대문구 연희동(서울연희초교 부근),3,3,0,1,1,1
서울특별시 양천구1,서울특별시 양천구 목동(등촌2동주민센터 부근),3,3,0,1,2,0
서울특별시 구로구1,서울특별시 구로구 구로동(서울신구로초교 부근),3,3,0,0,3,0
서울특별시 구로구2,서울특별시 구로구 구로동(남구로역 부근),3,3,0,0,3,0
서울특별시 관악구1,서울특별시 관악구 봉천동(서울온촌초교 부근),3,3,0,0,3,0
서울특별시 강남구1,서울특별시 강남구 대치동(YH과학학원 부근),5,5,0,1,4,0
서울특별시 강남구2,서울특별시 강남구 대치동(서울도곡초교 부근),4,4,0,0,4,0
서울특별시 강남구3,서울특별시 강남구 청담동(서울언북초교 부근),3,3,1,1,1,0
서울특별시 강남구4,서울특별시 강남구 세곡동(세곡푸르지오 앞 교차로 부근),2,2,1,1,0,0
