"자치구별(1)",자치구별(2),2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"자치구별(1)",자치구별(2),합계,합계,합계,자연공원(국립),자연공원(국립),자연공원(국립),도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,기타,기타,기타
"자치구별(1)",자치구별(2),소계,소계,소계,소계,소계,소계,소계,소계,소계,도시자연공원구역,도시자연공원구역,도시자연공원구역,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,소계,소계,소계
"자치구별(1)",자치구별(2),소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,근린공원,근린공원,근린공원,어린이공원,어린이공원,소공원,소공원,묘지공원,묘지공원,문화공원,문화공원,체육공원,체육공원,역사공원,역사공원,수변공원,수변공원,생태공원,생태공원,가로공원,가로공원,소계,소계,소계
"자치구별(1)",자치구별(2),공원수 (개소),(중복),면적 (천㎡),공원수 (개소),(중복),면적 (천㎡),공원수 (개소),(중복),면적 (천㎡),공원수 (개소),(중복),면적 (천㎡),공원수 (개소),(중복),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),면적 (천㎡),공원수 (개소),(중복),면적 (천㎡)
"합계",소계,2980,56,173024.1,1,5,37517.0,2307,48,119335.2,68,19,69221.4,417,29,43345.7,1248,2194.9,447,682.2,4,1940.9,68,846.6,9,291.5,22,509.0,14,227.2,1,51.1,9,24.4,672,3,16171.9
"합계",종로구,106,5,11434.6,-,1,5030.0,69,4,6236.6,3,2,3316.0,23,2,2721.1,20,55.0,16,21.9,-,-,3,9.6,-,-,4,113.0,-,-,-,-,-,-,37,-,168.0
"합계",중구,70,5,3206.2,-,-,-,57,5,3118.9,1,-,1789.8,3,5,1201.4,16,31.6,28,26.1,-,-,3,5.8,1,29.7,5,34.4,-,-,-,-,-,-,13,-,87.3
"합계",용산구,107,4,1774.0,-,-,-,68,4,757.5,-,1,54.9,6,3,555.2,23,41.3,28,47.2,-,-,6,37.9,-,-,3,17.5,-,-,-,-,2,3.5,39,-,1016.4
"합계",성동구,100,1,3083.8,-,-,-,65,1,1231.0,1,-,72.6,10,1,983.9,32,55.8,16,16.6,-,-,2,90.4,1,2.8,-,-,-,-,-,-,3,8.8,35,-,1852.8
"합계",광진구,68,2,3459.8,-,-,-,50,1,2993.9,1,-,2097.5,1,1,837.7,34,40.6,13,14.9,-,-,1,3.2,-,-,-,-,-,-,-,-,-,-,18,1,465.9
